graph_id,edge_list
graph_0,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 18), (0, 19), (0, 20), (0, 21), (0, 22), (0, 23), (1, 2), (1, 3), (1, 4), (1, 5), (1, 7), (1, 8), (1, 9), (1, 20), (1, 24), (1, 26), (2, 3), (2, 4), (2, 5), (2, 7), (2, 8), (2, 9), (2, 10), (2, 14), (2, 15), (2, 18), (2, 19), (2, 21), (2, 22), (3, 4), (3, 5), (3, 8), (3, 11), (3, 12), (3, 13), (3, 15), (3, 17), (3, 19), (3, 21), (3, 23), (4, 5), (4, 9), (4, 15), (4, 17), (4, 18), (4, 19), (4, 21), (4, 23), (5, 6), (5, 8), (5, 9), (5, 10), (5, 13), (5, 16), (5, 18), (5, 21), (5, 23), (5, 28), (6, 8), (6, 9), (6, 10), (6, 13), (6, 16), (6, 17), (6, 20), (6, 21), (6, 22), (7, 10), (7, 13), (7, 17), (7, 18), (7, 21), (7, 22), (8, 19), (8, 20), (9, 10), (9, 11), (10, 11), (10, 12), (10, 15), (10, 17), (10, 18), (10, 25), (11, 12), (11, 13), (11, 14), (11, 15), (11, 16), (11, 17), (11, 20), (11, 22), (11, 27), (11, 29), (12, 13), (12, 14), (12, 15), (12, 26), (13, 14), (13, 17), (13, 19), (13, 21), (13, 28), (14, 15), (14, 17), (14, 21), (14, 29), (15, 19), (16, 18), (16, 20), (16, 28), (17, 18), (17, 20), (17, 21), (17, 23), (17, 25), (17, 28), (18, 19), (18, 20), (18, 26), (18, 27), (19, 23), (19, 26), (20, 27), (20, 28), (20, 30), (21, 25), (21, 26), (21, 28), (21, 29), (22, 27), (22, 28), (23, 26), (24, 25), (25, 26), (25, 27), (26, 30)"
graph_1,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (1, 2), (1, 3), (1, 4), (1, 6), (1, 8), (1, 10), (1, 13), (2, 3), (2, 7), (2, 8), (2, 9), (2, 10), (2, 13), (3, 4), (3, 5), (3, 7), (3, 8), (3, 10), (3, 15), (4, 6), (4, 7), (4, 9), (4, 11), (4, 15), (4, 17), (4, 19), (5, 8), (5, 10), (5, 11), (5, 12), (5, 15), (5, 18), (5, 19), (5, 20), (5, 21), (6, 7), (6, 15), (6, 18), (7, 8), (7, 11), (7, 12), (7, 16), (7, 18), (7, 21), (7, 23), (8, 12), (8, 13), (8, 21), (9, 13), (9, 17), (10, 13), (10, 14), (10, 19), (11, 12), (11, 16), (11, 17), (11, 19), (11, 22), (12, 17), (13, 16), (13, 17), (14, 16), (14, 17), (14, 19), (15, 17), (16, 18), (16, 19), (17, 19)"
graph_2,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 13), (1, 15), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 11), (2, 13), (2, 14), (2, 15), (3, 4), (3, 8), (3, 10), (3, 11), (3, 13), (3, 17), (3, 18), (4, 5), (4, 7), (4, 12), (4, 14), (4, 16), (5, 6), (5, 7), (5, 8), (5, 11), (5, 18), (6, 8), (6, 11), (6, 15), (7, 9), (7, 10), (7, 11), (7, 14), (7, 18), (8, 9), (8, 10), (8, 12), (8, 14), (9, 10), (9, 11), (9, 14), (9, 15), (10, 11), (10, 12), (10, 14), (10, 15), (10, 16), (11, 12), (11, 14), (12, 14), (12, 15), (12, 16), (13, 15), (13, 17), (13, 21), (14, 15), (14, 16), (15, 16), (17, 19), (17, 22), (17, 24), (17, 25), (18, 24), (19, 21), (19, 23), (20, 21), (20, 22), (20, 24), (20, 27), (21, 23), (23, 25), (23, 27), (24, 25), (25, 27)"
graph_3,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (1, 2), (1, 3), (1, 4), (1, 6), (1, 7), (1, 14), (2, 3), (2, 5), (2, 7), (2, 12), (2, 13), (2, 14), (3, 9), (3, 11), (3, 12), (3, 14), (4, 7), (4, 11), (4, 12), (4, 13), (4, 16), (4, 17), (5, 14), (5, 15), (5, 16), (5, 17), (7, 9), (7, 10), (7, 11), (7, 12), (7, 14), (7, 17), (8, 10), (8, 12), (8, 13), (8, 17), (9, 15), (9, 16), (9, 17), (10, 13), (10, 14), (10, 16), (12, 13), (12, 16), (13, 16), (13, 17), (14, 17), (15, 19), (16, 18)"
graph_4,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (1, 11), (2, 3), (2, 4), (2, 6), (2, 10), (2, 12), (2, 13), (3, 6), (3, 7), (3, 11), (4, 5), (4, 6), (4, 7), (4, 11), (4, 13), (5, 6), (5, 7), (5, 12), (5, 13), (5, 15), (6, 12), (6, 15), (7, 8), (7, 11), (7, 14), (8, 11), (9, 10), (9, 11), (9, 12), (9, 13), (9, 16), (10, 12), (10, 16), (11, 14), (12, 14), (12, 15), (12, 16), (12, 17), (13, 14), (13, 16)"
graph_5,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (0, 20), (0, 21), (0, 22), (0, 23), (0, 24), (0, 25), (0, 26), (0, 27), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (1, 14), (1, 15), (1, 16), (1, 17), (1, 19), (1, 20), (1, 24), (1, 25), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (2, 10), (2, 11), (2, 12), (2, 15), (2, 16), (2, 19), (2, 20), (2, 21), (2, 22), (2, 25), (2, 27), (3, 4), (3, 5), (3, 6), (3, 7), (3, 9), (3, 10), (3, 13), (3, 16), (3, 18), (3, 19), (3, 20), (3, 21), (3, 22), (3, 23), (3, 24), (3, 25), (3, 26), (4, 5), (4, 6), (4, 7), (4, 8), (4, 11), (4, 12), (4, 16), (4, 17), (4, 18), (4, 20), (4, 24), (4, 26), (5, 7), (5, 8), (5, 11), (5, 12), (5, 13), (5, 19), (5, 21), (5, 24), (5, 25), (5, 28), (6, 7), (6, 8), (6, 10), (6, 11), (6, 12), (6, 13), (6, 16), (6, 17), (6, 21), (6, 23), (6, 24), (6, 26), (6, 28), (7, 8), (7, 9), (7, 10), (7, 12), (7, 16), (7, 20), (7, 27), (7, 29), (8, 10), (8, 11), (8, 12), (8, 14), (8, 17), (8, 19), (8, 21), (8, 23), (8, 24), (8, 25), (9, 10), (9, 19), (9, 21), (9, 27), (9, 28), (9, 30), (9, 33), (10, 11), (10, 13), (10, 14), (10, 19), (10, 22), (10, 28), (11, 12), (11, 13), (11, 14), (11, 15), (11, 17), (11, 18), (11, 20), (11, 21), (11, 23), (11, 24), (11, 25), (11, 26), (11, 27), (11, 29), (12, 13), (12, 15), (12, 16), (12, 17), (12, 22), (12, 24), (12, 25), (12, 27), (12, 30), (13, 15), (13, 16), (13, 18), (13, 19), (13, 20), (13, 21), (13, 23), (13, 26), (13, 28), (14, 15), (14, 16), (14, 17), (14, 18), (14, 19), (14, 22), (14, 23), (14, 24), (14, 25), (14, 28), (15, 16), (15, 18), (15, 19), (15, 24), (15, 27), (16, 17), (16, 18), (16, 19), (16, 21), (16, 22), (16, 26), (16, 28), (17, 18), (17, 19), (17, 20), (17, 21), (17, 25), (17, 31), (18, 20), (18, 21), (18, 25), (18, 27), (18, 28), (18, 29), (18, 30), (19, 20), (19, 21), (19, 22), (19, 23), (19, 25), (19, 26), (19, 28), (19, 29), (20, 21), (20, 22), (20, 24), (20, 25), (20, 26), (20, 28), (21, 22), (21, 23), (21, 26), (21, 28), (21, 31), (22, 24), (22, 27), (22, 28), (23, 24), (24, 25), (25, 27), (25, 29), (25, 30), (26, 27), (27, 28), (27, 31)"
graph_6,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (1, 2), (1, 3), (1, 5), (1, 6), (2, 4), (2, 5), (2, 7), (2, 10), (3, 4), (3, 5), (3, 6), (3, 7), (3, 9), (3, 13), (3, 14), (3, 16), (4, 5), (4, 6), (4, 9), (4, 10), (4, 11), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 12), (5, 13), (6, 7), (6, 12), (7, 9), (7, 10), (7, 18), (8, 9), (8, 10), (8, 11), (8, 15), (8, 16), (8, 20), (9, 10), (9, 28), (11, 13), (11, 14), (12, 14), (12, 15), (13, 16), (14, 16), (15, 18), (16, 25), (17, 18), (24, 25), (25, 27)"
graph_7,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (1, 2), (1, 3), (1, 5), (1, 8), (1, 9), (1, 12), (1, 13), (1, 14), (1, 15), (1, 16), (2, 4), (2, 6), (2, 10), (2, 13), (2, 15), (3, 12), (3, 13), (4, 10), (4, 12), (4, 15), (4, 16), (5, 6), (5, 11), (5, 12), (5, 13), (5, 14), (5, 15), (5, 16), (5, 18), (6, 12), (6, 16), (7, 8), (7, 11), (7, 12), (7, 15), (7, 20), (8, 11), (8, 12), (8, 18), (9, 11), (9, 12), (9, 14), (9, 20), (10, 14), (10, 17), (10, 19), (11, 18), (12, 16), (12, 18), (12, 19), (13, 14), (13, 17), (13, 18), (13, 19), (13, 20), (14, 18), (15, 16), (15, 19), (15, 20), (16, 19), (17, 18), (17, 20)"
graph_8,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 10), (1, 13), (1, 14), (2, 3), (2, 5), (2, 6), (2, 9), (2, 11), (2, 13), (3, 10), (3, 13), (3, 14), (3, 15), (4, 5), (4, 12), (4, 14), (4, 15), (5, 7), (5, 12), (5, 14), (5, 15), (6, 7), (6, 10), (6, 12), (7, 9), (7, 12), (7, 13), (7, 20), (8, 12), (8, 13), (8, 15), (9, 10), (9, 14), (9, 15), (10, 11), (10, 15), (10, 16), (11, 15), (11, 16), (11, 17), (12, 13), (12, 14), (12, 21), (13, 18), (14, 19), (15, 18), (16, 17), (16, 19), (16, 21), (19, 20)"
graph_9,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 22), (0, 23), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 9), (1, 11), (1, 17), (1, 18), (1, 20), (1, 22), (1, 24), (1, 29), (2, 3), (2, 4), (2, 5), (2, 7), (2, 8), (2, 11), (2, 12), (2, 13), (2, 23), (2, 25), (3, 5), (3, 6), (3, 7), (3, 10), (3, 16), (3, 17), (3, 18), (3, 19), (3, 21), (4, 5), (4, 6), (4, 7), (4, 12), (4, 13), (4, 14), (4, 15), (4, 16), (4, 17), (4, 19), (4, 23), (4, 26), (5, 7), (5, 9), (5, 11), (5, 15), (5, 26), (6, 7), (6, 8), (6, 10), (6, 14), (6, 15), (6, 19), (6, 21), (7, 8), (7, 9), (7, 10), (7, 11), (7, 13), (7, 14), (7, 20), (7, 22), (7, 23), (8, 19), (8, 21), (8, 22), (8, 23), (9, 10), (9, 14), (9, 15), (9, 17), (9, 19), (9, 21), (9, 22), (9, 23), (10, 12), (10, 14), (10, 18), (10, 19), (10, 22), (11, 12), (11, 15), (11, 17), (11, 24), (12, 15), (12, 16), (12, 17), (12, 20), (12, 21), (12, 23), (12, 25), (13, 21), (13, 24), (14, 15), (14, 16), (14, 20), (14, 22), (15, 16), (15, 19), (15, 25), (16, 17), (16, 18), (16, 19), (16, 21), (16, 25), (17, 18), (17, 19), (17, 20), (17, 21), (17, 22), (17, 24), (18, 19), (19, 20), (19, 24), (19, 26), (20, 21), (20, 22), (20, 23), (20, 26), (21, 23), (22, 24), (23, 25), (24, 25)"
