graph_id,edge_list
graph_0,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (0, 20), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 8), (1, 11), (1, 12), (1, 14), (1, 15), (1, 17), (1, 18), (1, 21), (1, 23), (1, 24), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (2, 10), (2, 11), (2, 12), (2, 14), (2, 15), (2, 16), (2, 17), (2, 19), (2, 20), (2, 21), (2, 23), (2, 24), (3, 4), (3, 6), (3, 7), (3, 12), (3, 13), (3, 15), (3, 16), (3, 18), (3, 20), (3, 21), (3, 24), (3, 25), (4, 6), (4, 7), (4, 8), (4, 10), (4, 15), (4, 16), (4, 17), (4, 18), (4, 20), (4, 22), (4, 23), (4, 24), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 12), (5, 13), (5, 15), (5, 16), (5, 17), (5, 18), (5, 22), (5, 23), (5, 24), (5, 27), (6, 9), (6, 10), (6, 12), (6, 16), (6, 17), (6, 18), (6, 19), (6, 21), (6, 24), (6, 25), (7, 8), (7, 10), (7, 11), (7, 17), (7, 18), (7, 19), (7, 20), (7, 21), (7, 22), (7, 24), (7, 25), (8, 9), (8, 11), (8, 12), (8, 13), (8, 15), (8, 16), (8, 19), (8, 22), (8, 23), (8, 24), (9, 10), (9, 12), (9, 13), (9, 18), (9, 22), (9, 23), (10, 11), (10, 12), (10, 13), (10, 16), (10, 17), (10, 18), (10, 19), (10, 20), (10, 22), (10, 23), (11, 12), (11, 13), (11, 16), (11, 18), (11, 19), (11, 20), (11, 22), (11, 23), (12, 14), (12, 15), (12, 16), (12, 18), (12, 19), (12, 20), (12, 21), (12, 22), (12, 23), (13, 14), (13, 16), (13, 17), (13, 18), (13, 19), (13, 20), (13, 21), (13, 22), (13, 23), (13, 24), (13, 25), (14, 16), (14, 18), (14, 19), (14, 23), (14, 24), (14, 25), (15, 17), (15, 18), (15, 22), (16, 20), (16, 22), (17, 18), (17, 19), (17, 20), (17, 23), (17, 24), (17, 25), (18, 20), (18, 21), (18, 23), (19, 20), (19, 22), (19, 25), (20, 21), (20, 22), (20, 23), (20, 24), (21, 22), (21, 23), (22, 23), (22, 26), (23, 24), (24, 25), (25, 26)"
graph_1,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (1, 2), (1, 4), (1, 11), (1, 14), (1, 15), (1, 16), (1, 17), (1, 18), (1, 19), (2, 3), (2, 5), (2, 6), (2, 10), (2, 11), (2, 12), (2, 13), (3, 4), (3, 5), (3, 6), (3, 12), (3, 15), (3, 16), (3, 19), (4, 5), (4, 6), (4, 9), (4, 11), (4, 21), (5, 6), (5, 14), (5, 16), (5, 18), (6, 17), (6, 19), (6, 20), (6, 26), (7, 8), (7, 9), (7, 21), (8, 9), (8, 12), (8, 17), (8, 19), (8, 21), (8, 23), (9, 10), (9, 11), (9, 19), (9, 21), (9, 24), (10, 12), (10, 15), (10, 18), (10, 20), (10, 24), (10, 25), (11, 14), (11, 21), (11, 22), (11, 25), (12, 13), (12, 17), (12, 19), (12, 20), (12, 26), (13, 15), (13, 18), (13, 20), (13, 26), (14, 15), (14, 17), (14, 19), (14, 20), (14, 21), (14, 24), (15, 18), (15, 21), (15, 22), (15, 26), (16, 18), (16, 19), (16, 21), (16, 22), (16, 27), (17, 18), (17, 21), (17, 23), (17, 25), (17, 26), (18, 19), (18, 20), (18, 24), (18, 25), (19, 23), (20, 23), (20, 24), (20, 26), (22, 23), (22, 25), (22, 26), (22, 28), (22, 29), (23, 26), (24, 27), (24, 28), (25, 26), (27, 29)"
graph_2,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 20), (1, 2), (2, 3), (2, 4), (2, 5), (2, 7), (2, 8), (2, 9), (2, 10), (2, 11), (2, 12), (2, 13), (2, 14), (2, 15), (2, 16), (3, 4), (3, 6), (3, 7), (3, 10), (3, 11), (3, 14), (3, 16), (3, 17), (3, 19), (4, 5), (4, 6), (4, 7), (4, 8), (4, 11), (4, 12), (4, 14), (4, 17), (4, 20), (5, 7), (5, 8), (5, 9), (5, 10), (5, 14), (5, 16), (5, 17), (5, 21), (5, 22), (5, 23), (6, 9), (6, 16), (6, 19), (6, 20), (7, 11), (8, 10), (8, 12), (8, 16), (8, 17), (8, 20), (8, 22), (9, 12), (9, 17), (9, 19), (9, 22), (10, 11), (10, 12), (10, 14), (11, 19), (12, 13), (12, 15), (12, 18), (12, 21), (13, 19), (14, 19), (17, 21)"
graph_3,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (0, 20), (0, 21), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 15), (1, 17), (1, 19), (2, 3), (2, 4), (2, 8), (2, 9), (2, 12), (2, 13), (2, 14), (2, 17), (3, 7), (3, 8), (3, 9), (3, 11), (3, 14), (3, 15), (3, 18), (3, 19), (3, 20), (4, 5), (4, 6), (4, 7), (4, 13), (4, 15), (4, 16), (4, 17), (4, 19), (5, 6), (5, 7), (5, 8), (5, 16), (5, 18), (5, 19), (6, 7), (6, 10), (6, 11), (6, 16), (6, 17), (6, 18), (6, 20), (7, 9), (7, 13), (7, 15), (7, 18), (8, 9), (8, 10), (8, 11), (8, 12), (8, 13), (8, 14), (8, 16), (8, 17), (9, 11), (9, 12), (9, 17), (9, 18), (9, 19), (10, 13), (10, 17), (11, 14), (11, 19), (11, 20), (11, 21), (12, 20), (13, 14), (13, 15), (13, 20), (15, 16), (16, 17), (16, 19), (16, 20)"
graph_4,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (0, 20), (0, 21), (0, 22), (1, 2), (1, 3), (1, 4), (1, 5), (1, 15), (2, 3), (2, 4), (2, 5), (2, 7), (2, 8), (2, 10), (2, 11), (2, 12), (2, 13), (2, 14), (2, 16), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (3, 12), (3, 13), (3, 17), (4, 5), (4, 6), (4, 8), (4, 9), (4, 14), (5, 10), (6, 7), (6, 13), (6, 14), (7, 8), (7, 16), (8, 10), (9, 17), (10, 14), (15, 21), (17, 20), (19, 22), (19, 24), (19, 25), (20, 24), (21, 24), (22, 25), (23, 25), (25, 26)"
graph_5,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (2, 3), (2, 4), (2, 6), (2, 7), (3, 4), (3, 10), (4, 5), (5, 6), (5, 9), (5, 12), (6, 7), (6, 8), (6, 9), (6, 14), (7, 8), (7, 9), (8, 10), (8, 13), (8, 17), (9, 13), (9, 14), (13, 16), (14, 15), (14, 20), (15, 18), (19, 22), (19, 23), (19, 24)"
graph_6,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 16), (0, 17), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (1, 11), (1, 12), (1, 13), (1, 14), (1, 15), (2, 5), (2, 7), (2, 9), (2, 10), (2, 11), (2, 12), (2, 13), (2, 14), (2, 15), (2, 16), (3, 13), (3, 18), (4, 10), (4, 12), (4, 13), (4, 14), (4, 22), (5, 7), (5, 9), (5, 11), (5, 12), (5, 13), (5, 14), (5, 15), (6, 10), (6, 13), (6, 14), (6, 16), (7, 12), (7, 13), (7, 14), (7, 15), (7, 16), (7, 17), (8, 9), (8, 10), (8, 14), (8, 15), (8, 16), (9, 15), (9, 16), (9, 19), (10, 14), (10, 17), (10, 20), (11, 13), (11, 15), (11, 18), (12, 18), (12, 19), (13, 14), (13, 18), (13, 20), (14, 17), (14, 19), (15, 16), (15, 20), (15, 23), (16, 18), (16, 20), (17, 18), (17, 19), (17, 20), (18, 20)"
graph_7,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (1, 3), (1, 4), (1, 9), (1, 10), (2, 3), (2, 8), (2, 9), (2, 10), (3, 4), (3, 8), (3, 11), (9, 10)"
graph_8,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (2, 8), (2, 9), (3, 14)"
graph_9,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 12), (0, 13), (0, 16), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 12), (1, 13), (1, 14), (2, 3), (2, 4), (2, 5), (2, 7), (2, 8), (2, 9), (2, 11), (2, 12), (2, 13), (3, 4), (3, 5), (3, 6), (3, 8), (3, 9), (3, 10), (3, 14), (4, 5), (4, 6), (4, 12), (4, 13), (4, 14), (4, 16), (5, 6), (5, 7), (5, 11), (5, 12), (6, 7), (6, 8), (6, 13), (6, 14), (7, 8), (7, 9), (7, 11), (7, 13), (7, 14), (7, 17), (7, 19), (7, 21), (8, 10), (8, 11), (8, 14), (8, 15), (8, 20), (9, 10), (9, 11), (9, 12), (9, 14), (10, 12), (10, 14), (11, 12), (11, 13), (11, 16), (12, 18), (13, 16), (13, 17), (13, 21), (15, 19), (16, 19), (17, 21), (19, 20), (19, 22), (19, 24), (20, 21), (20, 22)"
